46.42,108.09
42.29,142.56
45.53,174.49
52.08,206.46
66.26,232.86
88.8,251.99
117.1,265.08
147.82,269.93
178.87,265.75
208.3,253.3
232.21,234.55
247.77,208.13
255.52,175.82
259.27,143.54
255.86,108.98
228.24,86.01
212.43,78.65
189.59,76.92
171.66,78.88
74.77,85.58
90.34,78.54
112.92,76.88
130.81,78.86
87.16,105.75
105.08,96.91
124.31,104.91
105.31,109.99
105.07,102.65
214.15,105.9
195.98,96.98
177.05,105.05
195.93,110.08
195.96,102.73
150.91,96.02
129.29,140.83
120.28,156.3
128.68,166.85
150.39,168.61
171.92,167.04
180.46,156.7
171.46,141
150.62,124.54
136.1,159.87
164.45,159.87
109.63,202.28
124.45,192.99
139.59,189.54
149.49,192.07
159.54,189.59
174.45,193.24
189.11,202.55
178.09,210.04
165.06,214.15
148.98,215.14
132.94,214.13
120,209.8
129.86,201.22
149.11,201.81
168.45,201.23
168.52,199.07
149.37,198.82
130.36,198.95
150.37,150.74
94.75,99.59
116.26,98.79
115.26,108.09
95.54,108.7
206.45,99.66
184.84,98.97
185.95,108.17
205.7,108.84
